release-81,bos_taurus,bovine,UMD3.1
release-81,canis_familiaris,dog,CanFam3.1
release-81,danio_rerio,zebrafish,GRCz10
release-81,drosophila_melanogaster,fruit fly,BDGP6
release-81,equus_caballus,horse,EquCab2
release-81,felis_catus,cat,Felis_catus_6.2
release-81,gallus_gallus,chicken,Galgal4
release-81,homo_sapiens,human,GRCh38
release-81,macaca_mulatta,rhesus macaque,MMUL_1
release-81,meleagris_gallopavo,wild turkey,UMD2
release-81,monodelphis_domestica,gray short-tailed opossum,BROADO5
release-81,mus_musculus,mouse,GRCm38
release-81,nomascus_leucogenys,northern white-cheeked gibbon,Nleu1.0
release-81,ornithorhynchus_anatinus,duckbill platypus,OANA5
release-81,ovis_aries,sheep,Oar_v3.1
release-81,pan_troglodytes,chimpanzee,CHIMP2.1.4
release-81,pongo_abelii,sumatran orangutan,PPYG2
release-81,rattus_norvegicus,rat,Rnor_6.0
release-81,saccharomyces_cerevisiae,baker's yeast,R64-1-1
release-81,sus_scrofa,pig,Sscrofa10.2
release-81,taeniopygia_guttata,zebra finch,taeGut3.2.4
release-81,tetraodon_nigroviridis,spotted green pufferfish,TETRAODON8
release-82,ovis_aries,sheep,Oar_v3.1
release-82,bos_taurus,bovine,UMD3.1
release-82,canis_familiaris,dog,CanFam3.1
release-82,danio_rerio,zebrafish,GRCz10
release-82,drosophila_melanogaster,fruit fly,BDGP6
release-82,equus_caballus,horse,EquCab2
release-82,felis_catus,cat,Felis_catus_6.2
release-82,gallus_gallus,chicken,Galgal4
release-82,homo_sapiens,human,GRCh38
release-82,macaca_mulatta,rhesus macaque,MMUL_1
release-82,meleagris_gallopavo,wild turkey,UMD2
release-82,monodelphis_domestica,gray short-tailed opossum,BROADO5
release-82,mus_musculus,mouse,GRCm38
release-82,nomascus_leucogenys,northern white-cheeked gibbon,Nleu1.0
release-82,ornithorhynchus_anatinus,duckbill platypus,OANA5
release-82,pan_troglodytes,chimpanzee,CHIMP2.1.4
release-82,pongo_abelii,sumatran orangutan,PPYG2
release-82,rattus_norvegicus,rat,Rnor_6.0
release-82,saccharomyces_cerevisiae,baker's yeast,R64-1-1
release-82,sus_scrofa,pig,Sscrofa10.2
release-82,taeniopygia_guttata,zebra finch,taeGut3.2.4
release-82,tetraodon_nigroviridis,spotted green pufferfish,TETRAODON8
release-83,ovis_aries,sheep,Oar_v3.1
release-83,bos_taurus,bovine,UMD3.1
release-83,canis_familiaris,dog,CanFam3.1
release-83,danio_rerio,zebrafish,GRCz10
release-83,drosophila_melanogaster,fruit fly,BDGP6
release-83,equus_caballus,horse,EquCab2
release-83,felis_catus,cat,Felis_catus_6.2
release-83,gallus_gallus,chicken,Galgal4
release-83,homo_sapiens,human,GRCh38
release-83,macaca_mulatta,rhesus macaque,MMUL_1
release-83,meleagris_gallopavo,wild turkey,UMD2
release-83,monodelphis_domestica,gray short-tailed opossum,BROADO5
release-83,mus_musculus,mouse,GRCm38
release-83,nomascus_leucogenys,northern white-cheeked gibbon,Nleu1.0
release-83,ornithorhynchus_anatinus,duckbill platypus,OANA5
release-83,pan_troglodytes,chimpanzee,CHIMP2.1.4
release-83,pongo_abelii,sumatran orangutan,PPYG2
release-83,rattus_norvegicus,rat,Rnor_6.0
release-83,saccharomyces_cerevisiae,baker's yeast,R64-1-1
release-83,sus_scrofa,pig,Sscrofa10.2
release-83,taeniopygia_guttata,zebra finch,taeGut3.2.4
release-83,tetraodon_nigroviridis,spotted green pufferfish,TETRAODON8
release-84,ovis_aries,sheep,Oar_v3.1
release-84,pan_troglodytes,chimpanzee,CHIMP2.1.4
release-84,bos_taurus,bovine,UMD3.1
release-84,canis_familiaris,dog,CanFam3.1
release-84,danio_rerio,zebrafish,GRCz10
release-84,drosophila_melanogaster,fruit fly,BDGP6
release-84,equus_caballus,horse,EquCab2
release-84,felis_catus,cat,Felis_catus_6.2
release-84,gallus_gallus,chicken,Galgal4
release-84,homo_sapiens,human,GRCh38
release-84,macaca_mulatta,rhesus macaque,MMUL_1
release-84,meleagris_gallopavo,wild turkey,UMD2
release-84,monodelphis_domestica,gray short-tailed opossum,BROADO5
release-84,mus_musculus,mouse,GRCm38
release-84,nomascus_leucogenys,northern white-cheeked gibbon,Nleu1.0
release-84,ornithorhynchus_anatinus,duckbill platypus,OANA5
release-84,pongo_abelii,sumatran orangutan,PPYG2
release-84,rattus_norvegicus,rat,Rnor_6.0
release-84,saccharomyces_cerevisiae,baker's yeast,R64-1-1
release-84,sus_scrofa,pig,Sscrofa10.2
